From File,To File
examples/loadables/rmdir.c,config.h
examples/loadables/rmdir.c,mksyntax.c
examples/loadables/rmdir.c,shell.h
examples/loadables/sleep.c,bashtypes.h
examples/loadables/sleep.c,builtins.h
examples/loadables/sleep.c,builtins/common.c
examples/loadables/sleep.c,builtins/common.h
examples/loadables/sleep.c,command.h
examples/loadables/sleep.c,config.h
examples/loadables/sleep.c,include/chartypes.h
examples/loadables/sleep.c,lib/sh/uconvert.c
examples/loadables/sleep.c,lib/sh/ufuncs.c
examples/loadables/sleep.c,shell.h
examples/loadables/strftime.c,bashtypes.h
examples/loadables/strftime.c,builtins.h
examples/loadables/strftime.c,builtins/common.c
examples/loadables/strftime.c,builtins/common.h
examples/loadables/strftime.c,command.h
examples/loadables/strftime.c,config.h
examples/loadables/strftime.c,general.h
examples/loadables/strftime.c,include/posixtime.h
examples/loadables/strftime.c,lib/malloc/malloc.c
examples/loadables/strftime.c,lib/sh/strftime.c
examples/loadables/strftime.c,shell.h
examples/loadables/strftime.c,xmalloc.c
examples/loadables/sync.c,builtins.h
examples/loadables/sync.c,builtins/bashgetopt.h
examples/loadables/sync.c,command.h
examples/loadables/sync.c,config.h
examples/loadables/sync.c,shell.h
examples/loadables/tee.c,bashansi.h
examples/loadables/tee.c,bashtypes.h
examples/loadables/tee.c,builtins.h
examples/loadables/tee.c,builtins/bashgetopt.c
examples/loadables/tee.c,builtins/bashgetopt.h
examples/loadables/tee.c,builtins/common.c
examples/loadables/tee.c,builtins/common.h
examples/loadables/tee.c,command.h
examples/loadables/tee.c,config.h
examples/loadables/tee.c,include/filecntl.h
examples/loadables/tee.c,include/posixstat.h
examples/loadables/tee.c,lib/malloc/malloc.c
examples/loadables/tee.c,mksyntax.c
examples/loadables/tee.c,shell.h
examples/loadables/tee.c,sig.c
examples/loadables/tee.c,xmalloc.c
examples/loadables/template.c,bashansi.h
examples/loadables/template.c,builtins.h
examples/loadables/template.c,builtins/bashgetopt.c
examples/loadables/template.c,builtins/bashgetopt.h
examples/loadables/template.c,builtins/common.c
examples/loadables/template.c,command.h
examples/loadables/template.c,config.h
examples/loadables/template.c,shell.h
examples/loadables/truefalse.c,bashtypes.h
examples/loadables/truefalse.c,builtins.h
